race_id,bet_type,combo,p,odds,ev,stake,placed_at,ret,settled_at,final_odds
2026-07-05-01-03,単勝,1,0.3375,7.5,2.5313,500,2026-07-05T16:16:01+09:00,,,
2026-07-05-12-10,単勝,2,0.0757,33.0,2.4981,100,2026-07-05T19:27:24+09:00,,,
2026-07-05-12-10,単勝,3,0.13822,33.0,4.5613,200,2026-07-05T19:27:24+09:00,,,
2026-07-05-12-10,単勝,5,0.07465,82.5,6.1584,100,2026-07-05T19:27:24+09:00,,,
2026-07-05-24-05,単勝,1,0.32459,10.8,3.5056,600,2026-07-05T19:27:44+09:00,,,
2026-07-05-24-05,単勝,5,0.04864,119.2,5.798,100,2026-07-05T19:27:44+09:00,,,
2026-07-05-07-10,単勝,3,0.13794,10.3,1.4208,100,2026-07-05T19:46:33+09:00,,,
2026-07-05-24-06,単勝,1,0.33458,3.7,1.2379,200,2026-07-05T19:46:54+09:00,,,
2026-07-05-01-11,単勝,3,0.10986,60.7,6.6687,200,2026-07-05T19:58:44+09:00,,,
2026-07-05-01-11,３連単,1-3-2,0.1359,10.4,1.4134,100,2026-07-05T19:58:44+09:00,,,
2026-07-05-07-11,３連単,1-4-2,0.09784,16.8,1.6437,100,2026-07-05T20:03:20+09:00,,,
2026-07-07-20-12,単勝,4,0.1388,10.5,1.4574,100,2026-07-07T20:25:21+09:00,,,
2026-07-09-20-12,単勝,3,0.17188,8.5,1.461,100,2026-07-09T20:28:50+09:00,,,
2026-07-11-03-12,単勝,2,0.16548,9.3,1.539,100,2026-07-11T16:20:22+09:00,,,
2026-07-11-15-03,単勝,1,0.2982,4.1,1.2226,100,2026-07-11T16:21:04+09:00,,,
2026-07-11-15-03,単勝,2,0.32259,4.1,1.3226,200,2026-07-11T16:21:04+09:00,,,
2026-07-11-15-03,単勝,6,0.18895,8.2,1.5494,100,2026-07-11T16:21:04+09:00,,,
2026-07-11-19-06,単勝,2,0.37413,4.1,1.534,400,2026-07-11T19:48:01+09:00,,,
2026-07-12-15-05,単勝,1,0.51019,2.6,1.3265,500,2026-07-12T17:24:02+09:00,,,
2026-07-12-20-05,単勝,2,0.29004,5.2,1.5082,300,2026-07-12T17:24:22+09:00,,,
2026-07-12-19-08,単勝,3,0.15947,11.8,1.8817,200,2026-07-12T20:44:27+09:00,,,
2026-07-14-24-08,単勝,2,0.1226,12.3,1.508,100,2026-07-14T20:56:25+09:00,,,
2026-07-15-03-12,単勝,4,0.20902,10.0,2.0902,300,2026-07-15T16:21:51+09:00,,,
2026-07-15-12-04,単勝,2,0.49899,5.8,2.8941,900,2026-07-15T16:22:11+09:00,,,
2026-07-16-24-11,単勝,2,0.20114,12.4,2.4941,300,2026-07-16T22:05:43+09:00,,,
2026-07-16-24-11,単勝,3,0.13964,10.8,1.5082,100,2026-07-16T22:05:43+09:00,,,
2026-07-17-01-04,単勝,4,0.27899,5.4,1.5065,200,2026-07-17T16:31:19+09:00,,,
2026-07-17-07-04,単勝,2,0.12443,11.7,1.4558,100,2026-07-17T16:31:38+09:00,,,
2026-07-17-07-04,単勝,4,0.14069,11.7,1.646,100,2026-07-17T16:31:38+09:00,,,
2026-07-17-12-04,単勝,3,0.45375,3.1,1.4066,400,2026-07-17T16:32:19+09:00,,,
2026-07-17-13-12,単勝,3,0.22245,5.8,1.2902,100,2026-07-17T16:32:40+09:00,,,
2026-07-18-07-03,単勝,1,0.62606,2.3,1.4399,800,2026-07-18T16:07:26+09:00,,,
2026-07-18-12-03,単勝,1,0.46893,4.2,1.9695,700,2026-07-18T16:08:05+09:00,,,
2026-07-18-16-09,単勝,2,0.324,11.2,3.6288,600,2026-07-18T16:08:24+09:00,,,
2026-07-19-20-05,単勝,2,0.14547,9.7,1.411,100,2026-07-19T17:23:40+09:00,,,
2026-07-20-12-10,単勝,5,0.13426,13.3,1.7856,100,2026-07-20T19:24:24+09:00,,,
2026-07-21-10-03,単勝,3,0.30606,4.3,1.3161,200,2026-07-21T09:14:35+09:00,,,
2026-07-21-09-07,単勝,4,0.12859,12.0,1.543,100,2026-07-21T13:29:49+09:00,,,
2026-07-21-22-09,単勝,1,0.52708,2.8,1.4758,600,2026-07-21T16:07:10+09:00,,,
2026-07-21-12-08,単勝,3,0.30784,6.5,2.001,400,2026-07-21T18:34:42+09:00,,,
2026-07-22-10-05,単勝,2,0.17435,10.5,1.8307,200,2026-07-22T10:08:45+09:00,,,
2026-07-22-05-05,単勝,6,0.16443,11.8,1.9403,200,2026-07-22T13:29:47+09:00,,,
2026-07-22-09-07,単勝,1,0.48638,4.8,2.3346,800,2026-07-22T13:30:10+09:00,,,
2026-07-22-13-08,３連単,1-4-3,0.08201,26.2,2.1487,100,2026-07-22T13:30:29+09:00,,,
2026-07-22-14-11,単勝,1,0.46524,3.0,1.3957,400,2026-07-22T13:30:50+09:00,,,
