regno,n,ran,wins,st_sum,st_n,ran1,win1,ran2,win2,ran3,win3,ran4,win4,ran5,win5,ran6,win6
2014,80,79,3,15.68,79,13,2,13,0,15,0,13,1,13,0,12,0
2538,350,345,7,72.8,347,55,3,68,3,63,0,61,0,54,1,44,0
2878,487,486,65,85.36,487,92,34,85,10,88,8,76,8,75,4,70,1
3024,483,471,166,76.75,478,110,67,80,21,72,21,70,19,65,17,74,21
3054,309,304,57,53.44,307,53,25,50,9,57,14,45,6,44,2,55,1
3065,60,58,5,11.180000000000001,58,7,3,12,0,8,0,10,1,11,0,10,1
3070,214,209,38,34.22,211,36,19,37,9,42,2,28,2,34,3,32,3
3072,401,394,42,65.72,398,62,25,83,6,81,1,58,5,62,2,48,3
3075,436,432,50,61.87,436,68,25,79,7,81,7,71,6,68,4,65,1
3081,293,284,40,50.17,289,46,17,52,11,49,8,46,2,44,1,47,1
3105,381,378,46,64.14,379,64,28,69,7,69,8,59,1,64,2,53,0
3107,320,317,22,57.36,320,49,13,57,1,62,3,48,4,57,1,44,0
3141,63,61,3,11.11,62,11,2,13,0,12,1,8,0,10,0,7,0
3156,390,388,24,65.14,388,67,14,67,2,69,2,70,2,62,4,53,0
3158,484,481,105,72.74,483,103,65,70,12,87,12,82,12,68,3,71,1
3159,407,399,124,62.18000000000001,402,99,63,68,9,69,16,60,18,53,7,50,11
3161,459,453,48,83.9,457,83,30,74,5,87,6,78,2,73,3,58,2
3175,382,379,31,61.269999999999996,381,65,11,73,10,67,4,61,5,60,1,53,0
3176,359,357,40,64.75,358,60,25,64,6,58,2,58,4,57,2,60,1
3188,199,194,36,33.75,196,41,23,34,2,27,5,35,4,28,1,29,1
3202,410,407,30,81.1,409,71,18,76,4,67,4,63,2,65,1,65,1
3207,294,287,12,53.17,292,49,5,55,0,55,5,50,1,44,1,34,0
3211,376,372,15,64.75999999999999,373,56,11,67,3,63,1,68,0,61,0,57,0
3212,314,310,23,52.84,311,50,14,52,2,55,1,56,5,47,1,50,0
3224,425,422,27,77.53,423,54,13,84,4,85,7,69,2,77,1,53,0
3226,422,417,34,78.86,419,64,24,76,1,76,3,75,5,69,1,57,0
3232,391,388,78,61.57000000000001,390,79,44,67,12,63,6,62,12,63,2,54,2
3233,422,420,40,67.86,421,63,20,82,4,75,8,67,6,66,2,67,0
3246,268,261,28,42.7,262,38,17,49,4,48,5,43,1,41,0,42,1
3251,574,571,109,110.88999999999999,574,117,61,95,18,93,9,85,12,92,3,89,6
3256,498,492,125,70.87,493,100,54,91,23,87,14,75,20,70,11,69,3
3257,345,335,112,43.260000000000005,335,76,55,54,9,56,14,46,8,42,10,61,16
3265,362,356,91,52.44,358,89,45,66,5,54,12,41,7,53,10,53,12
3268,333,332,30,58.42,332,47,21,60,1,61,2,60,3,54,0,50,3
3273,214,209,19,37.35,210,32,12,37,1,39,3,34,3,34,0,33,0
3277,393,386,38,66.96000000000001,387,68,24,64,6,73,2,61,5,66,1,54,0
3280,58,55,4,11.51,57,11,3,9,0,10,1,6,0,10,0,9,0
3282,434,432,31,81.84,433,61,25,83,2,84,3,74,1,78,0,52,0
3284,431,422,63,77.45,427,68,37,72,9,73,8,75,6,73,0,61,3
3286,316,307,39,50.56,309,48,23,54,6,60,3,41,3,50,3,54,1
3289,207,205,16,40.1,203,35,5,37,6,37,0,32,4,34,0,30,1
3290,43,43,2,8.05,43,7,2,9,0,8,0,6,0,6,0,7,0
3293,377,371,13,73.55,373,53,7,71,2,65,3,68,1,62,0,52,0
3294,372,366,29,57.47,369,55,14,63,4,60,3,60,4,64,2,64,2
3297,414,411,41,79.69,412,63,15,79,7,74,6,75,5,62,3,58,5
3300,543,538,114,78.53999999999999,540,105,70,95,19,89,10,84,6,86,7,79,2
3302,340,337,66,58.44,338,59,25,61,12,53,9,60,15,57,5,47,0
3303,521,507,57,98.79,517,96,39,90,9,86,3,78,2,81,3,76,1
3304,553,545,123,93.18,551,107,77,97,12,91,18,85,8,82,6,83,2
